R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,R7,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,R8,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,R9,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,R11,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,R12,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,E11,S52,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,E14,S53,E14,E14,E14,E14,E14,E14,E14,R19,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,R20,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,R21,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,R26,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,R27,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,R28,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,E4,S54,E4,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,E15,S55,E15,E15,E15,E15,E15,E15,E15,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,R6,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E13,E13,E13,S44,S45,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,56,-,-
E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,E16,S57,E16,E16,E16,E16,E16,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E13,E13,E13,S44,S45,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E13,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,58,-,-
R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,R18,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,R24,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,R25,E2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
